Geneid	Input-3-1	Input-3-2	Input-9-1	Input-9-2
ENSG00000223972	0	0	0	0
ENSG00000227232	57	69	68	51
ENSG00000278267	2	4	1	0
ENSG00000243485	0	1	0	0
ENSG00000284332	0	0	0	0
ENSG00000237613	0	0	0	1
ENSG00000268020	0	0	0	0
ENSG00000240361	0	0	0	0
ENSG00000186092	0	0	0	0
ENSG00000238009	0	0	0	0
ENSG00000239945	0	0	0	0
ENSG00000233750	2	0	1	0
ENSG00000268903	0	0	0	0
ENSG00000269981	1	1	1	0
ENSG00000239906	0	0	0	0
ENSG00000241860	1	3	1	7
ENSG00000222623	0	0	0	0
ENSG00000241599	0	0	0	0
ENSG00000279928	0	1	0	0
ENSG00000279457	69	76	68	70
ENSG00000273874	0	0	0	0
ENSG00000228463	5	6	8	4
ENSG00000236679	1	3	1	0
ENSG00000236601	0	0	0	0
ENSG00000237094	6	12	8	11
ENSG00000269732	0	0	0	0
ENSG00000284733	0	0	0	0
ENSG00000233653	0	0	0	0
ENSG00000250575	2	4	2	1
ENSG00000278757	0	0	0	0
ENSG00000230021	6	18	7	7
ENSG00000235146	0	0	0	0
ENSG00000225972	24	22	22	11
ENSG00000225630	1144	1176	1158	839
ENSG00000237973	3781	3822	3884	3226
ENSG00000278791	0	0	0	0
ENSG00000229344	11	13	21	11
ENSG00000240409	4	2	1	1
ENSG00000248527	6847	7228	7294	5520
ENSG00000198744	50	73	49	35
ENSG00000268663	0	0	0	0
ENSG00000284662	0	0	0	0
ENSG00000229376	2	2	2	2
ENSG00000228327	87	95	89	82
ENSG00000223181	1	0	0	0
ENSG00000229905	0	0	0	0
ENSG00000237491	63	63	47	32
ENSG00000285268	0	0	0	0
ENSG00000230092	3	6	7	8
ENSG00000177757	2	3	4	4
ENSG00000228794	305	363	345	322
ENSG00000225880	52	52	46	40
ENSG00000230368	0	0	0	0
ENSG00000234711	0	0	0	0
ENSG00000283040	0	0	0	0
ENSG00000272438	19	21	21	21
ENSG00000230699	76	80	93	89
ENSG00000241180	2	3	1	0
ENSG00000223764	127	129	124	109
ENSG00000187634	949	1133	1302	1068
ENSG00000188976	4101	4318	4267	3642
ENSG00000187961	441	514	576	505
ENSG00000187583	28	38	39	26
ENSG00000187642	15	11	9	12
ENSG00000272512	6	10	7	3
ENSG00000188290	622	733	709	570
ENSG00000187608	90	91	166	143
ENSG00000231702	0	0	0	0
ENSG00000224969	14	9	5	9
ENSG00000188157	4862	4861	5534	4487
ENSG00000242590	0	0	0	0
ENSG00000217801	41	41	62	62
ENSG00000273443	2	1	4	7
ENSG00000237330	3	3	5	7
ENSG00000131591	730	804	696	624
ENSG00000285812	9	11	9	6
ENSG00000223823	0	0	0	1
ENSG00000207730	0	0	0	0
ENSG00000207607	0	0	0	0
ENSG00000198976	0	0	0	0
ENSG00000272141	0	0	0	0
ENSG00000205231	0	1	0	0
ENSG00000162571	0	0	0	0
ENSG00000186891	71	90	6	7
ENSG00000186827	1	0	0	0
ENSG00000078808	5899	6359	5948	5132
ENSG00000176022	767	871	738	645
ENSG00000184163	7	8	5	14
ENSG00000260179	7	2	0	0
ENSG00000160087	1015	1189	1212	1013
ENSG00000230415	4	5	7	10
ENSG00000162572	33	45	42	32
ENSG00000131584	704	764	802	630
ENSG00000278073	0	0	0	0
ENSG00000169972	416	410	479	376
ENSG00000127054	1308	1474	1553	1235
ENSG00000283712	0	0	0	0
ENSG00000240731	24	37	29	23
ENSG00000224051	751	793	682	544
ENSG00000169962	27	28	15	15
ENSG00000107404	2599	2913	2836	2459
ENSG00000284372	0	0	0	0
ENSG00000162576	31	24	24	27
ENSG00000175756	1777	1905	2131	1778
ENSG00000223663	1	4	1	0
ENSG00000221978	1816	1929	1564	1564
ENSG00000224870	440	536	417	411
ENSG00000242485	900	973	1019	1005
ENSG00000264293	0	0	0	0
ENSG00000272455	224	262	171	145
ENSG00000235098	0	0	0	0
ENSG00000225905	0	0	0	0
ENSG00000205116	0	0	0	0
ENSG00000225285	0	0	0	0
ENSG00000179403	0	1	1	1
ENSG00000215915	5	7	2	5
ENSG00000160072	1132	1052	1030	959
ENSG00000284740	6	8	4	4
ENSG00000197785	1479	1543	1579	1395
ENSG00000205090	2	6	0	3
ENSG00000160075	2023	2134	2378	2008
ENSG00000215014	19	29	17	11
ENSG00000274481	0	0	0	0
ENSG00000228594	0	0	0	0
ENSG00000272106	120	110	68	75
ENSG00000197530	583	625	626	511
ENSG00000189409	3	0	2	1
ENSG00000248333	485	542	569	490
ENSG00000272004	0	1	1	0
ENSG00000189339	1696	1918	1590	1299
ENSG00000269737	22	12	8	8
ENSG00000215914	0	3	9	1
ENSG00000008128	8	11	10	8
ENSG00000268575	31	30	21	22
ENSG00000227775	12	5	9	10
ENSG00000215790	215	296	195	154
ENSG00000008130	1898	2162	2138	1896
ENSG00000078369	3812	4265	4507	3579
ENSG00000231050	7	7	7	6
ENSG00000169885	6	2	7	5
ENSG00000178821	68	74	100	84
ENSG00000142609	0	0	0	0
ENSG00000233542	0	0	0	0
ENSG00000187730	0	0	0	1
ENSG00000226969	1	0	2	2
